date,deviceModel,provider,condition,networks,quote
2018-12-01 10:07:42,Apple iPhone 7 (32gb),Music Magpie,Good,Unlocked,215.00
2018-12-01 10:07:42,Apple iPhone 7 (32gb),Music Magpie,Good,O2,140.00
2018-12-01 10:07:42,Apple iPhone 7 (32gb),Music Magpie,Good,EE,140.00
2018-12-01 10:07:42,Apple iPhone 7 (32gb),Music Magpie,Good,Vodafone,140.00
2018-12-01 10:07:42,Apple iPhone 7 (32gb),Music Magpie,Good,Orange,120.00
2018-12-01 10:07:42,Apple iPhone 7 (32gb),Music Magpie,Good,T-Mobile,120.00
2018-12-01 10:07:42,Apple iPhone 7 (32gb),Music Magpie,Good,3,120.00
2018-12-01 10:07:42,Apple iPhone 7 (32gb),Music Magpie,Good,Virgin,120.00
2018-12-01 10:07:42,Apple iPhone 7 (32gb),Music Magpie,Good,Tesco,120.00
2018-12-01 10:07:42,Apple iPhone 7 (32gb),Music Magpie,Good,Unknown,110.00
2018-12-01 10:07:42,Apple iPhone 7 (32gb),Music Magpie,Poor,Unlocked,129.00
2018-12-01 10:07:42,Apple iPhone 7 (32gb),Music Magpie,Poor,O2,84.00
2018-12-01 10:07:42,Apple iPhone 7 (32gb),Music Magpie,Poor,EE,84.00
2018-12-01 10:07:42,Apple iPhone 7 (32gb),Music Magpie,Poor,Vodafone,84.00
2018-12-01 10:07:42,Apple iPhone 7 (32gb),Music Magpie,Poor,Orange,72.00
2018-12-01 10:07:42,Apple iPhone 7 (32gb),Music Magpie,Poor,T-Mobile,72.00
2018-12-01 10:07:42,Apple iPhone 7 (32gb),Music Magpie,Poor,3,72.00
2018-12-01 10:07:42,Apple iPhone 7 (32gb),Music Magpie,Poor,Virgin,72.00
2018-12-01 10:07:42,Apple iPhone 7 (32gb),Music Magpie,Poor,Tesco,72.00
2018-12-01 10:07:42,Apple iPhone 7 (32gb),Music Magpie,Poor,Unknown,66.00
2018-12-01 10:07:42,Apple iPhone 7 (32gb),Music Magpie,Faulty,Unlocked,64.50
2018-12-01 10:07:42,Apple iPhone 7 (32gb),Music Magpie,Faulty,O2,14.00
2018-12-01 10:07:42,Apple iPhone 7 (32gb),Music Magpie,Faulty,EE,14.00
2018-12-01 10:07:42,Apple iPhone 7 (32gb),Music Magpie,Faulty,Vodafone,14.00
2018-12-01 10:07:42,Apple iPhone 7 (32gb),Music Magpie,Faulty,Orange,12.00
2018-12-01 10:07:42,Apple iPhone 7 (32gb),Music Magpie,Faulty,T-Mobile,12.00
2018-12-01 10:07:42,Apple iPhone 7 (32gb),Music Magpie,Faulty,3,12.00
2018-12-01 10:07:42,Apple iPhone 7 (32gb),Music Magpie,Faulty,Virgin,12.00
2018-12-01 10:07:42,Apple iPhone 7 (32gb),Music Magpie,Faulty,Tesco,12.00
2018-12-01 10:07:42,Apple iPhone 7 (32gb),Music Magpie,Faulty,Unknown,11.00
